發話人,NPC ID,表情,"邏輯/條件/選項
一二三四五六七八九十一二三一二三四五六七八九十","對白
一二三四五六七八九十一二三四五六七八九十一二三",獲得道具/對話後果,備註
主角,,一般,,壞了，睡太過了，腦子還是一片混亂……對了，[em2]小犀[/em2]呢？我不是還有個小靈通在——,,
旁白,,,頭頂泡泡,……怪了，我的小靈通呢跑哪了？,,
,,,,,,
"任務開啟
開啟母任務：大夢初醒
開起子任務：與破廟中人對話，了解目前情況。",,,,,,
,,,,,,
,,,,,,
探索開始（破廟內部,,,,,,賭徒兄妹（２　
△獵戶阿緯,,,,,,廟僧
獵戶阿緯,,,若首次對話,,,
獵戶阿緯,,,,一輛牛車就把咱們拉來這兒，話也說不清楚就要咱們等，咱們窮苦人的時間可真不值錢。,,
獵戶阿緯,,,,哎！我正想問問小兄弟呢，你是為何要入京啊？我瞧你年紀輕輕，不像是在河東活不下去的樣子啊！,,
選項1.a,,,[em1]［江湖遊俠］[/em1]「……得罪權貴，只得流亡他鄉。」,,,
選項1.b,,,[em1]［地痞混混］[/em1]「那多無聊，換個地方玩玩！」,,,
選項1.c,,,[em1]［流民］[/em1]「故鄉流民太多了，得另闢他途啊！」,,,
選項1.d,,,[em1]［世家子弟］[/em1]「京城多賢人，更有機會一展長才。」,,,
選項1.e,,,[em1]［遊牧民族］[/em1]「都是中原，何處不都一樣麼。」,,,
選項2,,,「哪種理由，不都是為了五株錢折腰？」,,,
選項3,,,「……抱歉，我不記得了。」,,,
▼選項1,,,,,,
,,,"［江湖遊俠］
若選擇　選項1.a",得、得罪權貴？沒料到小兄弟年紀輕輕，竟有如此膽識，都說英雄出少年，小兄弟了不起啊！,,
,,,,我從以前就很憧憬這種仗劍天涯的日子。等咱們到了京城，你定要好好和我說說你的故事！,,
,,,"［地痞混混］
若選擇　選項1.b","……啊，你、你說的也對！
……哈哈！那、那你進京後好好玩啊！好好玩！",,
,,,"［流民］
若選擇　選項1.c","流民？這麼說小兄弟你的父母……已經……
唉，小兄弟了不起啊，離開故鄉，想必不容易吧！",,
,,,"［世家子弟］
若選擇　選項1.d",喔？小兄弟還是個讀書人……沒想到連讀書人都得背井離鄉……,,
,,,,"不過入京後，識字的好處可不少！
小兄弟，你就要飛黃騰達啦。",,
,,,"［遊牧民族］
若選擇　選項1.e","唉！口氣這麼大，入了京城，可別水土不服啦！
先說好，咱可沒有多餘的黃土分你！",,
▼選項2,,,,,,
,,,,……說的也是，哪來這麼多理由。說到底，不都是為了錢麼……唉……,,
,,,,"對不住啊小兄弟，是我問了個傻問題。
入了京城，咱們一起打拼罷！",,
▼選項3,,,,,,
,,,,啊？不記得了？小兄弟你逗我玩兒呢！咱們才從河東出來幾日，哪來的不記得啊！,,
,,,,"……我明白了！小兄弟是有難言之隱啊……
沒事沒事！既然如此，我就不多問了！",,
選項分支匯流,,,,,,
主角,,,,別只說我了，大哥你呢，你——,,
,,,「獵戶大哥又是為何入京？」,,,
,,,「大哥可知這兒是哪裡嗎？」,,,
,,,「罷了，大哥保重。」,,【結束對話】,
獵戶阿緯role97,,,,哈哈哈！我？我可不像小兄弟那樣，不過是年紀到了，我一個獵戶，哪來的錢兩娶個好媳婦……,,
獵戶阿緯,,,,……正苦惱呢，便在酒樓遇上個「京城來的小哥」，那人聽了我的事兒，便說要介紹我去京城工作。,,
獵戶阿緯,,,,我啊，除了拉弓射箭，埋設陷阱外，啥也不通，啥也不懂！這機會和天上掉餅兒一樣，我自得接住！,,
獵戶阿緯,,,,若運氣好些，我還能把我娘接來京城，安享晚年哩！,,
主角,,思考,,京城來的小哥……方才也有提到，看來此人甚得大家重視啊，多問問其他人吧。,,
獵戶阿緯,,,,……小兄弟，你沒事兒吧？這樣稀里糊塗的，一不小心便會被人給賣啦！,,
,,,,咱們馬車走了五日有餘……又在這山上，若我沒猜錯，咱們應當是快過了地界。,,
獵戶阿緯,,,,之後再繼續往南走上幾日，便看到京城的高牆……不過我也是聽那傑哥說的，倒也不確定！,,
獵戶阿緯,,,,只是這幾日大雨，聽說前方路塌了，咱們得等雨勢緩和，京城的傢伙會從另一條路上山接應咱們。,,
獵戶阿緯,,,,唉……等雨緩和些，便真是要離了故鄉啦……唉……,,
主角,,思考,,故鄉啊……故鄉……哈哈，這離了故土的傷感，對我而言倒是沒甚麼用處。,,
,,,第二次以後對話,,,
獵戶阿緯,,,,待久了，感覺連我這種粗人都要悟道囉……你聽，閉上眼睛，還能聽到了誦經聲哩。,,
主角,,,,"誦經聲？
……我怎麼什麼也沒聽見。",【對話結束】,
,,,※跳回上方選項※,,,
,,,,,,
△碼頭工人,,,,,,
粗工阿佑role99,,,若首次對話＆方才選擇贊同［不入虎穴］,"「不入虎穴，焉得虎子。」
……唉，小兄弟你還真有膽識。",,
粗工阿佑,,,,我就怕咱們入了虎穴，還得不到虎子。再不好，還會被山魈鬼魅撥一層皮哩！,,
粗工阿佑,,,,"不說了不說了！
再說下去，阿傑的臉色又要難看了。",,
,,,若首次對話＆方才選擇贊同［富貴險中求］,唉，「富貴險中求，也在險中丟」這麼簡單的道理，怎麼小兄弟明白，大哥就不明白呢……,,
,,,,"不說了不說了！
再說下去，阿傑的臉色又要難看了。",,
,,,「這位大哥既如此害怕，又為何會想入京？」,,,
,,,「你掛在嘴邊的『大哥』是何方神聖？」,,,
,,,「我就不打擾大哥了。」,,【對話結束】,
▼選項1,,,,,,
粗工阿佑,,,,我？哈、哈哈……小兄弟啊，不是我愛藏，只是這事兒吧，確實不好說。,,
粗工阿佑,,,,只是你問得也沒錯，既然是我要跟上阿傑……唉，也不該再這樣婆婆媽媽的。,,
粗工阿佑,,,,抱歉吶小兄弟，方才說的那些抱怨，你且當沒聽過罷。,【對話結束】,
▼選項2,,,,,,
粗工阿佑,,,,哈！小兄弟說笑呢，這甚麼傻問題？,,
粗工阿佑,,,,大哥還能是誰，當然是介紹咱們入京，要給咱們仲介的「恩公」啊！,,
粗工阿佑,,,,我也不是忘恩負義的白眼狼，只是這事兒實在蹊蹺……怎麼會有人無緣無故，要幫我這種人入京……,【對話結束】,
主角,,思考,,又是「京城來的大哥」……這人究竟是甚麼大人物，總不會破廟裡的人，都是他準備帶入京城的幫工？,,
,,,第二次以後對話與阿佑對話,,,
粗工阿佑,,,,"嗯？是捅了多大的簍子才要這樣連夜離京？
……小兄弟，世間有些事，不知，反而是快樂的。",,
,,,,,,
,,,第二次以後對話與傑哥對話（內鬼）,,,
粗工傑哥,,,,媽的！這小子畏畏縮縮像什麼樣？小兄弟你別被他影響了！我告訴你，我見過那恩公，他啊，靠譜著哩！,,
粗工傑哥,,,,哈哈！我以前也不信這種事兒，畢竟進京賺錢這種好事，怎可能落在咱這種鄉巴佬身上？,,
粗工傑哥,,,,但那大哥說的沒錯，男兒志向當如天高海厚，怎能屈就在這故鄉一隅？咱們還年輕，還能拚！,,
粗工傑哥,,,,"有這京城發財之機，女人錢財？
哈！哪個不是手到擒來？",,
,,,"※進入洞悉檢定
※檢定成功。",（此人言語激動，眼角餘光卻不自覺地向你飄去——你意識到他正在觀察你對這番言論有何反應。）,"僅成功跳出劇情，失敗不跳
難度：１０",成功:+10洞悉經驗
主角,,思考,,這人說話歸說話，眼睛時不時的往我這兒飄是做甚麼？為甚麼要這麼在意我的反應……？,,
,,,,,,
,,,第三次以後對話與傑哥對話,,,
粗工傑哥,,,,男兒當有鴻鵠志向，可不能屈就於一簞食，一瓢飲。並以此為樂，安於現狀！,跳出提醒：是否推進劇情,
,,,［持有道具］「傑大哥，你可識得此物？」,,,
,,,「受教了。」,,,
粗工傑哥,,,,"……！
小、小小小兄弟啊，你從哪兒拿來這玩意兒的？",,
主角,,一般,,從哪裡拿的？能從哪裡，傑大哥你不是該最清楚嗎？,,
粗工阿佑,,,,嗯？小兄弟你拿什麼玩意兒？來來來，讓我瞧瞧！,,
粗工傑哥,,,,呃……！慢、慢著！等等！,,
靈犀,,生氣,△黑幕,哼！誰要等你！表哥，把東西給他們看看！,,
主角,,喜悅,,好好好！大家別爭別搶，人人都有獎，看不懂字的也別慌，我這就念給你們聽——,,
粗工傑哥,,,,呃……不、不是什麼好看的東西！,,
主角,,喜悅,,確實不是甚麼好看的東西——也就是寫滿了咱們的名字、年紀、住哪兒和[em2]價值[/em2]多少而已。,,
主角,,喜悅,,傑大哥，你怎麼如此緊張？,,
粗工傑哥,,,,我、我我我哪有緊張？,,
靈犀,,吐槽,,"你的演技太假啦！
聲音都黏糊在一團了。",,
主角,,,,口說無憑：你們瞧這最後一頁，墨色仍鮮豔著，定是不久前寫上的。,,
主角,,,,上頭寫了我與小犀的名字，年歲，還有為何要去京城的理由……若僅是如此，倒還好理解。但——,,
靈犀,,不悅,,這些名字的後頭，不但說要把我們當作「豬仔」，還詳列了我們的賣價……！,,
靈犀,,,,以及：「已命人混入其中，安撫其心，領往趙王洞，數不可有誤。」,,
　選項2.a.1,,,「傑哥，你就是那『混入其中之人』！」,,,
　選項2.a.2,,,「『豬仔』、『價值』…這真是要帶我們進京？」,,,
　選項2.a.3,,,「好啦傑哥，你是要走流程還是直接開打？」,,,
粗工傑哥,,,,這……這……,,
,,,落雷ＳＥ,,,
粗工傑哥,,,,這……這狗娘養的！,,
,,,△進傑哥備戰動作,,,
粗工傑哥,,,,"他媽的！你這白毛小鬼，淨壞我好事！
若沒有你在這兒亂摸亂探，咱們何須走到這步……！",,
粗工傑哥,,,,他媽的！若不是你這崽子，我早就……該死！你們給我乖一點！不然就給我死在這兒！,,
旁白,,,,（驚雷落地，將那因恐慌而蒼白的面孔映的更加瘎人，眾人面面相覷，一時間竟僵持不下。）,,
粗工傑哥,,,,你、你們別怨我！我也是不得已……反正你們留在故鄉，也只有等死一條！,,
選項1,,,［威嚇］「咱們這麼多人，一人一拳你受得住？」,,難度：12,
選項2,,,［口才］「慢著，同為天涯淪落人，何必如此？」,,難度：12,
選項3,,,［遊俠］「各位退下，江湖規矩，單挑！」,,進入單挑,
選項4,,,「好言勸說不聽是吧，那就吃我拳頭！」,,進入戰鬥,
▼選項1,,,,,,
主角,,,"※進入威嚇檢定
※檢定成功。",傑哥，別說我說話難聽，但你看看這兒多少人，你有多少人，真打起來，你是討不了好的。,成功:+10威嚇經驗,
主角,,,,何況你若傷了我們這些「豬仔」，你的「頭兒」真能原諒你？嘿！你傷了我們不是，不傷我們也不是！,,
粗工傑哥,,,,這……這……,,
靈犀,,,,這甚麼？亡羊補牢時猶未晚，這說不定是最後一次回頭的機會囉！,,
粗工傑哥,,,,……,,
粗工阿佑,,,,……傑、傑大哥！這小兄弟說得對，咱們兄弟一場，何必把場面用得如此難堪？,,
粗工阿佑,,,,你也見著了，這小兄弟是個練家子啊！真打起架來……唉喲！老哥，都苦命人，何必這樣哩？,,
粗工傑哥,,,,……,接：成功結果,
,,,"※進入威嚇檢定
※檢定失敗。",,,
粗工傑哥,,,,你別想嚇唬我！嘿，比起你這種毛頭小鬼……老子更怕我頭頂那殺人不眨眼，泯滅良心的賊子！,,
主角,,驚慌,,不是，兄、不是，大哥你聽我說，我很強的！你是真打不贏——唉！痛痛痛！,,
粗工傑哥,,,,哈！只剩張嘴的小崽子，給我拿命來！,【進入戰鬥】,
▼選項2,,,,,,
,,,"※進入口才檢定
※檢定成功。",,成功:+10口才經驗,
粗工傑哥,,,,這……我……,,
粗工阿佑,,,,好兄弟！你就聽聽好兄弟所說！快快回頭罷！,,
粗工阿佑,,,,難道你真要棄我而去？你難道忘了我們喝下的結拜酒？談過的情義相挺？,,
粗工阿佑,,,,嗚、嗚嗚！我自幼便是孤身一人，在港口做粗工，誰都能欺負我，扣我工錢，搶我午飯！,,
粗工阿佑,,,,只有你，只有你會與我一起勞作，只有你會替我出頭……你是我的真兄弟啊！啊、啊啊——,,
靈犀,,吐槽,,……,,
主角,,吐槽,,……,,
粗工傑哥,,,,…………,接：成功結果,
,,,"※進入口才檢定
※檢定失敗。",,,
主角,,流汗,,那個、那什麼……所謂古賢有言，之乎哲也，就是……呃……我的意思是——,,
旁白,,,,（你本想動之以情，曉之以理，然而口齒不清又結結巴巴，一通胡言，竟是無人能解你在說什麼……）,,
旁白,,,,（最後，在你不知重複第幾遍大差不差的主張後，對面的粗工終於忍無可忍，向你襲來——）,【進入戰鬥】,
▼選項3,,,,,,
粗工傑哥,,,,唉呦！小夥子你很勇嘛！好，那就讓你勇到最後一刻！,"【進入單挑】
",
,,,,,,
▼選項4,,,,,,
粗工傑哥,,,,"你、你要做什麼？
你、你你你別過來——唉喲！",,
旁白,,,,（對方話音未落，你隨即踏出一步，四指併攏，一收一放，朝著那尖銳如錐的下巴就是一拳！）,【進入戰鬥】,
成功結果,,若【口才、威嚇、戰鬥】成功,,,,
主角,,喜悅,,如何，服氣了？,,
粗工傑哥,,,,……服，我服氣了。我孤身一人，是贏不過幾位的，如今要殺要剮，且聽任之。,,
主角,,吐槽,,別別別，說得這麼恐怖做什麼，我只是要問你幾個問題罷了！,,
粗工傑哥,,,,你們說的沒錯。從一開始就沒有什麼「貴客」，進京工作也好，酒樓缺工也罷，那些榮華富貴……都是要誘騙你們的幌子。,,
粗工傑哥,,,,不過是一群腦子靈活的山匪強盜，專挑困苦之人而佈下的天羅地網……是了，就和當年的我一樣。,,
選項1,,,「『當年的我』？此話何意？」,,,
選項2,,,「目的若為錢財，何須挑貧苦之人下手？」,,,
選項3,,,「若我們就這樣上當了，會發生何事？」,,,
選項4,,,「行了，來決斷如何處置這廝罷。」,,,
▼選項1,,,,,,
粗工傑哥,,,,……數年前，我正為錢財苦惱時，意外被一位公子攔下……那公子談吐斯文，風度翩翩，我便不疑有他。,,
粗工傑哥,,,,那人請我喝酒，酒過幾輪，等我酩酊大醉！便說要引介我去京城做工，我那時糊塗，便答應了。,,
靈犀,,不悅,,"這……不與我們一模一樣嗎？
所、所以大哥你也是——",,
粗工傑哥,,,,是啊，我信了他的鬼話，把一身家當都帶在身上，傻呼呼地上了他的馬車，怎料——,,
粗工傑哥,,,,我被帶入賊窩後，是又打又踹，拿刀剮、拿火燙……直到我答應了他們的「請求」，才死裡逃生。,,
主角,,不悅,,"請求？
既然目標是粗工、流民這等，想來不是索要錢財了？",,
粗工傑哥,,,,是……他們要我蒐羅適合的「替死鬼」，用同樣的伎倆把他們忽悠上車。等我找足了數，便會放我自由。,,
粗工傑哥,,,,……我、我也是被逼無奈啊……今個兒換作是你們，你們也會與我一樣的！,【跳回選項】,
主角,,不悅,,行了行了，我還有其他問題要問——,,
▼選項2,,,,,,
粗工傑哥,,,,詳細我也不知……只聽他人說過，粗工流民這等下作之輩，多一人少一人也是無人在意，雖然窮，但也有好地方可使……,,
粗工傑哥,,,,況、況且我也沒見過他們向人勒索錢財，專、專挑貧民下手，或許另有他意……,,
主角,,不悅,,因此理由專挑流民下手，真是個卑鄙卻聰明的方法，我明白了，還有其他事情要問——,【跳回選項】,
▼選項3,,,,,,
粗工傑哥,,,,若你們真上當了……那等雨勢緩和之後，便會被帶去附近的一座洞窟裡頭……,,
粗工傑哥,,,,那地兒名喚趙王洞，聽聞夜裡山魈鬼魅不絕，附近居民絕不會無故靠近那兒，故甚少有人發現那洞窟……,,
粗工傑哥,,,,"等你們進去了那兒，便、便是再也出不去了！
我、我見過好多人被帶進去後，就、再也不見了！",,
主角,,不悅,,若如此，那名冊裡頭寫在我們前頭的那些名字，想來就是同樣中此陷阱的流民了？,,
靈犀,,驚訝,,咦？裡頭可是有十幾頁呢！這麼多人都……,【跳回選項】,
▼選項4,,,,,,
靈犀,,驚訝,,處、處置？,,
粗工阿佑,,,,等、等一下，小兄弟，小兄弟你先等等！,,
粗工阿佑,,,,你且聽我一言——我、我明白這人做的事情可惡，我也很氣他！巴不得給他狠狠踹進溝裡揍一頓！,,
粗工阿佑,,,,但、但他也是被逼無奈，為求自保才……我、我求求你們，饒了他一命吧！求求你們了！,,
主角,,一般,,……,,
選項1.A,,,「……再有下回，絕不寬貸。」,,信義通達(-0.1),
選項1.B,,,「大錯已鑄，留他，是為禍患。」,,信義通達(+0.1),
　▼選項1.A,,,,,,
主角,,嘆氣,,"可恨之人也有可憐之機。
你既已構不成威脅，我又何必非要了你的命呢？",,
主角,,不悅,,你走吧，只是下回再讓我見著你幹這種勾當——,,
粗工傑哥,,,,不會了！絕不會了！,,
粗工傑哥,,,,謝、嗚嗚……謝大俠，謝大俠開恩……！,,
主角,,不悅,,行了行了，少一把鼻涕一把淚的——喂！髒死了，別碰我啊！,,
　▼選項1.B,,,,,,
主角,,不悅,,……,,
旁白,,,,（你並未多言，抽出腰間兵刃，隨後越過眾人，銀光耀動——）,,
,,,△刀劍攻擊動畫　,,,
粗工傑哥,,,,呃……咳呃……！,,
小犀,,驚訝,,啊……！,,
粗工阿佑,,,,……！兄、兄弟……兄弟啊！！,,
選項匯流＿若沒有殺死傑哥,　▼選項1.B,,,,,
,,,△進入黑幕　停頓一下後回到畫面　眾人面面相覷,,,
靈犀,,難過,,……,,
賭鬼哥哥,,,,呿，我就知道這趟子定有問題！幸好這白髮小兄弟機靈，找到那名冊！,,
選項1,,,「湊巧罷了，只能說老天眷顧。」,,,
選項2,,,「別嘴上誇獎，救命之恩，沒點回報嗎？」,,,
選項3,,,「你說的對，不愧是我！誇，多誇！」,,,
賭鬼哥哥,,,,哈哈！小兄弟這性子根個婆媽似的，我說是你的功勞！就是你的功勞！來！抬頭挺胸！,,
主角,,無奈,,唉呦，這位大哥，我抬，我抬頭就是了，你別壓著我胸口！,,
靈犀,,難過,,……好啦，表哥你也知道大家都是窮鬼了，就別計較這些啦。,,
主角,,無奈,,也是，都窮鬼了。,,
靈犀,,難過,,都窮鬼了。,,
賭鬼哥哥,,,,嘖……！,,
靈犀,,難過,,別誇啦，再誇下去，這鼻子挺得都要把天頂給頂破洞了！,,
主角,,無奈,,胡說八道，誰會把天給頂破啊？,,
靈犀,,一般,,嘻嘻，表哥也知道小犀在胡謅，那就別繼續笑啦！,,
酒鬼妹妹,,,,"好啦好啦～至少咱們保住了小命，不是挺好的麼～
只是，接下來又該怎麼辦呢？",,
獵戶阿偉,,,,是啊是啊，這京城夢一碎，咱們莫非就只能？,,
主角,,無奈,,只能就此散了吧。,,
主角,,不悅,,京城夢碎雖為可惜，但別忘了，這破廟可是傑大哥本要作為接應的地，咱們繼續待在這兒，保不定會與那群禍首撞上，屆時——,,
旁白,,,,（你沒說出最後一句，周圍的人卻已想通，隨後外頭風雨淒厲哭嚎，也未讓他們停下收拾行囊的速度…）,,
獵戶阿偉,,,,總之，多謝小兄弟相救。只是這地兒實在不安全，咱們還是快點離開罷！,,
旁白,,,△進入黑幕,（本就淒涼的破廟送走了最後一點人煙，不知誰率先拾起行囊，踏入風雨之中。）,,
旁白,,,△進入畫面　破廟只留小犀　主角　粗工傑哥＋阿佑,,,
靈犀,,難過,,雖說本就是一面之緣…但看到大家都走了，還是有些寂寞…小犀長著麼大，第一次和這麼多人說話呢。,,
主角,,一般,,是啊，確實可惜了。不過這天下說大是大，說小也是小……若是有緣，江湖也將再相見。,,
靈犀,,一般,,嘿嘿，表哥你吊書袋的模樣還真好笑！方才表哥那樣，好像街口說書人口中的「神捕」呢！料事如神，字字珠璣還咄咄逼人的！,,
,,,※頭頂泡泡,"……好啦，咱們也先下山吧。
剩下的，等到了外頭再做打算。",,
"任務開啟
完成母任務：大夢初醒",,,,,給予技能點x1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
▼探索：粗工傑哥,,,,,,
首次對話：,,,,,,
粗工傑哥,,,,對、對了。雖稱不上是報答不殺之恩，但有一件事，不知對大俠是否有所幫助。,,
粗工傑哥,,,,聽附近農戶所言，這座破廟好像[em2]有些古怪[/em2]。好幾回廟中分明無人，卻好像從某處傳來朗朗誦經聲。,,
粗工傑哥,,,,"大俠若是好奇，不妨調查一番罷。
……我還想在這兒休息會兒，還請大俠莫要見怪。",【對話結束】,
主角,,一般,,誦經聲？……總覺得哪裡聽過這話……莫非這廟裡還有古怪？,,
,,,,,,
第二次對話,,,,,,
粗工傑哥,,,,聽聞[em2]破廟有時會傳來誦經聲[/em2]……聽著可怖，但想到過往種種，又覺得此間萬物，有什麼能恐怖過人心呢。,【對話結束】,
失敗結果,,若戰鬥失敗,,,,
旁白,,,,（困獸之鬥竟如此迅猛，你在粗工的亂刀揮砍下毫無招架之力，銀光輪轉，隨後感覺上身一涼——）,,
靈犀,,,,表、表哥……！表哥！,,
,,,,,,
▼探索：粗工阿佑,,,,,,
首次對話／阿傑存活：,,,,,,
粗工阿佑,,,,謝大俠網開一面，等咱回去安頓好後，定會籌謝大俠！,,
粗工阿佑,,,,我也知他這作為不對，但……一想到這事若發生在我身上……我就無法真的怪罪他。,,
首次對話／阿傑死亡：,,,,,,
粗工阿佑,,,,……嗚，嗚嗚……,,
,,,,,,
,,,,,,
△武者,,,,,,
,,,若首次對話,,,
黑衣武者,,,,……莫要擾我。,,
旁白,,,,（眼前人散發著的淡淡血腥，夾雜著一點雨露泥濘的腥羶氣味，細瞧，才見其側肩一道猙獰傷口。）,,
主角,,,,噁……好重的血腥味……！,,
選項一,,,［醫師］檢查此人受傷原因。,,改為條件為醫師，難度消失,
選項二,,,「是誰下的手？」,,,
選項三,,,「這位大哥，我替你找找藥物吧。」,,,
旁白,,,"※進入洞察檢定
※檢定成功。",（此人傷口由上至下，上窄下寬，又在靠近胸腹之處收刀，豁開一處大口。）,洞察經驗+10,
旁白,,,,（壑口如此，你推斷應是大刀所致，猶若力劈山河，純憑氣勁……如今，已是神仙難醫。）,,
旁白,,,"※進入洞察檢定
※檢定失敗。",（你只感覺方才醒神的朦朧仍未退去，眼神渙散，一道壑口由一分為二、二分為四……）,,
黑衣武者,,,,別看了，看不出甚麼的。,,
黑衣武者,,,,……不知。,,
黑衣武者,,,,呵，許是我這樣血腥之人入了廟堂，便遭報應了。,,
黑衣武者,,,,不，已是晚了。,,
黑衣武者,,,匯流,……小兄弟，你既願為一將死之人駐足，我有一不情之請，可否請你聽聽。,,
黑衣武者,,,,"我已無回天可能，命數如此，我無怨懟。
只是刀傷猶若火焚，實在疼痛難忍。",,
黑衣武者,,,,我想請你替我找來一株[em2]曼陀羅花[/em2]，此花有毒，常在破敗之處生長……你若帶來，必有謝禮。,,
選項一,,,「毒花？你要拿它做甚？」,,（跳回選項）,
選項二,,,「好，我替你帶來，你且撐住。」,,,
選項三,,,［醫術］「莫要放棄，我能救你！」,,"條件：醫術專長等級1以上（條件滿足才出現此選項
難度：8",
選項四,,,「不，既然終有一死，與其浪費藥草，不如我送你上路。」,,獲得獎勵:200錢、染血黑刀、虎符切口,
選項五,,,「助人自裁，恕我做不到。」,,【對話結束】,
黑衣武者,,,,哈哈！我已如此，還能做什麼呢？命定如此，我已掀不起什麼風浪啦。,,
黑衣武者,,,,萬物初生本無立場，黑白善惡醫毒救殺，不過俗者予之……我不過是，想借那花毒一用……,,
黑衣武者,,,,曼陀羅雖為毒，但於如今的我，便是救命解藥……能讓我減緩痛苦，安心前往極樂。,（跳回選項）,
主角,,,,我明白了，這位大哥你且撐住，我去找找你要的曼陀羅花來。,,
黑衣武者,,,,小兄弟……多、多謝。,,
"支線任務開啟
開啟母任務：瘋草仁心
開起子任務：替將死的黑衣武者帶來「曼陀羅花」。",,,,,,
,,,,,,
,,,,,,
主角,,,"※進入醫術檢定
※檢定成功。",大哥，就這樣放棄也太鱉屈啦，你別慌，我來想個辦法……,醫術經驗+10,
